datetime,u10,v10,u100,v100,power_generation
2012-02-01 00:00:00,-4.73804448590388,1.32756516363453,-6.03611482920575,1.62558294486059,0.45040829108613795
2012-02-01 01:00:00,-2.72268011252258,2.2432646381258903,-3.3470639772548902,2.73608273697138,0.30676782358988897
2012-02-01 02:00:00,-1.63957342373072,2.78852671749445,-2.00796711029197,3.3768333327777005,0.0926247621748739
2012-02-01 03:00:00,-0.779890836382997,3.23226510426091,-0.9765478524484609,3.92113171875592,0.0344831661171577
2012-02-01 04:00:00,-0.254010525968971,3.63835987466928,-0.35691933408296506,4.44233591364855,0.0606232495479846
2012-02-01 05:00:00,-0.11061893847497599,4.00414935887608,-0.203469011352952,4.92867240827469,0.0827572352016638
2012-02-01 06:00:00,-0.0732704319649113,4.35282810837466,-0.18249099254935602,5.4127447665198805,0.100081540043252
2012-02-01 07:00:00,-0.24800808742271102,4.6246986709608,-0.428788472576769,5.827987378784469,0.196747852187992
2012-02-01 08:00:00,-0.514783133923168,4.71215353724725,-0.814550929465131,6.059382116916651,0.204854586922867
2012-02-01 09:00:00,-0.39906945750359496,4.62583938660801,-0.752782318543429,6.31885214617249,0.21500573143782298
2012-02-01 10:00:00,0.43993806374034294,3.34367499913886,0.0739070150501595,6.01319373474545,0.18185793124638103
2012-02-01 11:00:00,0.910129083197399,2.6048714982929,0.762296817271889,5.28459464735862,0.15568239562283498
2012-02-01 12:00:00,1.12955155894402,2.21968984808346,1.1410666012257198,4.96354010854118,0.265560558253862
2012-02-01 13:00:00,0.509299575830461,3.0170500854864297,0.318262085929092,6.13862689024958,0.30278536060788697
2012-02-01 14:00:00,-0.0505945530123726,3.0311189118020696,-0.4579246098039871,6.010023943812129,0.323749423901868
2012-02-01 15:00:00,0.0207677719264998,2.6075331681364,-0.29243135035339,5.48972540347188,0.325002068044575
2012-02-01 16:00:00,0.12014147674791999,2.2999201819375497,-0.124995681754313,5.14557667356884,0.271091100317888
2012-02-01 17:00:00,-0.0115787024616809,2.2322377202028196,-0.387997880458664,5.09848263684527,0.46897342267285796
2012-02-01 18:00:00,-0.31136716096657,2.35163262461127,-0.971886070492106,5.2533495653016296,0.5924415925124971
2012-02-01 19:00:00,-0.7135305435660091,2.33224045860862,-1.67154184577503,5.20172725581618,0.5950650547736379
2012-02-01 20:00:00,-1.36913022034088,2.29763875064312,-2.79775067006441,5.08399216400724,0.503314780019144
2012-02-01 21:00:00,-2.3135138849524997,2.6356708207677,-3.7565238257547198,4.56912755098125,0.424563642594628
2012-02-01 22:00:00,-3.19153725674713,3.0170500854864297,-4.42315864551346,4.11901723845017,0.364235827985961
